date	close
1-May-12	282.13
30-Apr-12	283.98
27-Apr-12	203.00
26-Apr-12	307.70
25-Apr-12	310.00
24-Apr-12	460.28
3-Jan-12	411.23
30-Dec-11	405.00
29-Dec-11	405.12
28-Dec-11	402.64
27-Dec-11	406.53
23-Dec-11	403.43
22-Dec-11	398.55
21-Dec-11	396.44
20-Dec-11	395.95
15-Jul-09	146.88
14-Jul-09	142.27
13-Jul-09	142.34
10-Jul-09	138.52
9-Jul-09	136.36
8-Jul-09	137.22
7-Jul-09	135.40
6-Jul-09	138.61
3-Jul-09	140.02
2-Jul-09	140.02
1-Jul-09	142.83
30-Jun-09	142.43
29-Jun-09	141.97
26-Jun-09	142.44
25-Jun-09	139.86
24-Jun-09	136.22
19-Feb-09	90.64
18-Feb-09	94.37
17-Feb-09	94.53
13-Feb-09	99.16
12-Feb-09	99.27
11-Feb-09	96.82
10-Feb-09	97.83
9-Feb-09	102.51
6-Feb-09	99.72
5-Feb-09	96.46
4-Feb-09	93.55
3-Feb-09	92.98
2-Feb-09	91.51
30-Jan-09	90.13
29-Jan-09	93.00
28-Jan-09	94.20
27-Jan-09	90.73
26-Jan-09	89.64
23-Jan-09	88.36
22-Jan-09	88.36
21-Jan-09	82.83
20-Jan-09	78.20
16-Jan-09	82.33
15-Jan-09	83.38
14-Jan-09	85.33
13-Jan-09	87.71
12-Jan-09	88.66
9-Jan-09	90.58
9-Jan-08	179.40
8-Jan-08	171.25
7-Jan-08	177.64
4-Jan-08	180.05
3-Jan-08	194.93
2-Jan-08	194.84
31-Dec-07	198.08
28-Dec-07	199.83
27-Dec-07	198.57
26-Dec-07	198.95
24-Dec-07	198.80